step,loss
1,5.552672482504649
250,2.6061377039494062
500,2.300479066819651
750,2.019474348328085
1000,1.7062539518076028
1250,1.5951378412848165
1500,1.1760279329055905
1750,1.598189946464231
2000,1.4200702157768488
2250,1.5797918211760424
2500,1.570290866356172
2750,1.8743423517120315
3000,1.489886609898411
3250,1.8813450784182413
3500,1.816088541996961
3750,1.2909322263768028
4000,1.7703496497395603
4250,1.7882909556256663
4500,1.5862851734376595
4750,1.4912087781332402
5000,1.6162988464001526
