step,loss
1,5.549208227921538
100,2.913254806221573
200,2.3578196531657056
300,2.2141913410231804
400,2.342231145133747
500,1.907655079550877
600,2.2931093262641533
700,2.0449670643934432
800,2.446139625799216
900,2.2575649319491267
1000,2.163582058241377
1100,2.107990963461502
1200,1.8488646867606218
1300,1.789027836764852
1400,2.041412578337438
1500,1.7970078300113992
1600,2.0390349556956435
1700,1.9724011786095972
1800,1.8054082790478976
1900,1.9864011485335065
2000,1.7254907458711541
2100,1.8007237906337998
2200,1.8350168640252889
2300,1.7777174186772577
2400,1.8643126917559085
2500,1.79263227290245
