step,loss,train_exact,test_exact
1,2.4185752624610535,1.0,1.0
50,0.6702364555507295,0.5,0.475
100,0.009161863275382067,1.0,0.995
150,0.0021182188134546216,1.0,1.0
200,0.0008943094683941751,1.0,1.0
250,0.0006524768166935681,1.0,1.0
300,0.0006420759040262836,1.0,1.0
350,0.0003685043783579769,1.0,1.0
400,0.0002831139084392454,1.0,1.0
450,0.00021107471101433083,1.0,1.0
500,0.00022773258254440263,1.0,1.0
550,0.00015534798625253384,1.0,1.0
600,0.00010902456111494278,1.0,1.0
650,0.00011464175414480832,1.0,1.0
700,9.462675204606759e-05,1.0,1.0
750,7.453475196943673e-05,1.0,1.0
800,7.146998051261353e-05,1.0,1.0
850,7.094495350994798e-05,1.0,1.0
900,5.219246943723997e-05,1.0,1.0
